Site,Country,Model,RepairType,Price,Currency,ExclVAT,Login,URL
thescreensurgery.com,UK,iphone 11 pro max,original,21.95,GBP,18.29,no,https://thescreensurgery.com/collections/value-screens
thescreensurgery.com,UK,iphone 15,original,26.95,GBP,22.46,no,https://thescreensurgery.com/collections/value-screens
thescreensurgery.com,UK,iphone x,original,17.95,GBP,14.96,no,https://thescreensurgery.com/collections/value-screens
thescreensurgery.com,UK,iphone xr,original,14.95,GBP,12.46,no,https://thescreensurgery.com/collections/value-screens
thescreensurgery.com,UK,iphone xs,original,17.95,GBP,14.96,no,https://thescreensurgery.com/collections/value-screens
thescreensurgery.com,UK,iphone xs max,original,19.95,GBP,16.62,no,https://thescreensurgery.com/collections/value-screens
touchandscreen.de,Germany,iPhone 11,refurb,30.95,EUR,26.01,no,https://www.touchandscreen.de/Display-refurbished-inkl-Touchscreen-schwarz-black-passend-fuer-iPhone-11
utopya.com,France,iphone 15,pulled,9.95,EUR,8.29,no,https://www.utopya.com/apple/iphone/iphone-15.html
world-itech.com,France,iPhone 11,refurb,69.9,EUR,58.25,no,https://www.world-itech.com/gb/iphone-11/1904-iphone-11-screen-refurbished-originapples-tools-included.html
world-itech.com,France,iPhone 15,original,249.9,EUR,208.25,no,https://www.world-itech.com/gb/iphone-15/4222-iphone-15-screen-officialapplee-service-pack-free-tools.html
world-itech.com,France,iPhone 15 Plus,original,399.9,EUR,333.25,no,https://www.world-itech.com/gb/iphone-15-plus/4223-iphone-15-plus-screen-officialapplee-service-pack-free-tools.html
world-itech.com,France,iPhone 15 Pro,original,359.9,EUR,299.92,no,https://www.world-itech.com/gb/iphone-15-pro/4224-iphone-15-pro-screen-official-apple-service-pack-free-tools.html
world-itech.com,France,iPhone 15 Pro Max,original,399.9,EUR,333.25,no,https://www.world-itech.com/gb/iphone-15-pro-max/4225-iphone-15-pro-max-screen-officialapplee-service-pack-free-tools.html
